BuscoID	Status	Contig	Start	End	Strand	Score	Length	OrthoDBURL	Description	MeanX	MedX	ModeX	DensX	CN	CIsyst	CIrand	DensK	SelfK	HomPC
5at3193	Complete	NC_057921.1	46808850	46969063	+	6163	3890	https://www.orthodb.org/v10?query=5at3193	sacsin	51.61	52	53	51.28	0.97	0.27	0.27	NA	NA	NA
23at3193	Complete	NC_057917.1	70663908	70688674	-	6459.8	3772	https://www.orthodb.org/v10?query=23at3193	auxin transport protein BIG	64.89	65	68	65.38	1.24	0.31	0.34	NA	NA	NA
79at3193	Complete	NC_057919.1	16321176	16351734	-	4172.1	2765	https://www.orthodb.org/v10?query=79at3193	Phosphatidylinositol 3-/4-kinase, catalytic domain	49.31	50	56	49.67	0.94	0.27	0.26	NA	NA	NA
241at3193	Complete	NC_057918.1	67883282	68037571	-	3572.2	2108	https://www.orthodb.org/v10?query=241at3193	protein ILITYHIA	59.52	59	55	58.88	1.12	0.29	0.31	NA	NA	NA
255at3193	Complete	NC_057919.1	25088689	25196097	-	3584.4	2100	https://www.orthodb.org/v10?query=255at3193	Serine/threonine-protein kinase TOR	55.6	55	49	55.25	1.05	0.28	0.29	NA	NA	NA
364at3193	Complete	NC_057921.1	66948415	66977683	+	1934	1565	https://www.orthodb.org/v10?query=364at3193	WD40-repeat-containing domain	61	61	61	60.52	1.15	0.29	0.31	NA	NA	NA
453at3193	Complete	NC_057921.1	39581848	39738896	+	2414.6	1591	https://www.orthodb.org/v10?query=453at3193	HEAT repeat-containing protein 5B isoform X1	61.79	60	55	60.23	1.14	0.29	0.31	NA	NA	NA
469at3193	Complete	NC_057917.1	71658313	71873783	+	2927.5	1902	https://www.orthodb.org/v10?query=469at3193	Zinc finger FYVE domain-containing protein 26 isoform 2	50.02	49	51	47.87	0.91	0.26	0.25	NA	NA	NA
727at3193	Complete	NC_057916.1	87593573	87608428	+	2836.7	1450	https://www.orthodb.org/v10?query=727at3193	endoribonuclease Dicer homolog 1	55.3	56	48	55.62	1.06	0.28	0.29	NA	NA	NA
840at3193	Complete	NC_057923.1	22650557	22707209	+	2831.3	1618	https://www.orthodb.org/v10?query=840at3193	DNA polymerase A	52.34	51	50	51.22	0.97	0.27	0.27	NA	NA	NA
938at3193	Complete	NC_057922.1	59478637	59506897	+	1844.3	1310	https://www.orthodb.org/v10?query=938at3193	Tetratricopeptide-like helical	52.49	52	51	52.23	0.99	0.27	0.27	NA	NA	NA
1073at3193	Complete	NC_057916.1	76286626	76413021	+	1912.3	1469	https://www.orthodb.org/v10?query=1073at3193	Zinc finger, PHD-type	53.07	52	50	51.8	0.98	0.27	0.27	NA	NA	NA
1171at3193	Complete	NC_057917.1	64368432	64477058	+	2395.7	1534	https://www.orthodb.org/v10?query=1171at3193	nuclear pore complex protein NUP205	54.25	55	55	54.33	1.03	0.28	0.28	NA	NA	NA
1259at3193	Complete	NC_057923.1	13550508	13659083	+	1899.1	1489	https://www.orthodb.org/v10?query=1259at3193	nuclear pore complex protein GP210	60.09	57	57	57.28	1.09	0.29	0.3	NA	NA	NA
1332at3193	Complete	NC_057918.1	19272036	19427174	+	2101.9	1253	https://www.orthodb.org/v10?query=1332at3193	UDP-glucose:glycoprotein glucosyltransferase	52.91	53	53	53.37	1.01	0.28	0.28	NA	NA	NA
1388at3193	Complete	NC_057923.1	56188719	56274145	+	1740.1	1423	https://www.orthodb.org/v10?query=1388at3193	E3 ubiquitin-protein ligase listerin	48.55	46	44	46.76	0.89	0.26	0.24	NA	NA	NA
1440at3193	Complete	NC_057925.1	14411964	14430115	-	2716.4	1334	https://www.orthodb.org/v10?query=1440at3193	intron-binding protein aquarius	63.29	64	67	63.12	1.2	0.3	0.33	NA	NA	NA
1521at3193	Complete	NC_057921.1	52714525	52839690	-	1476	1038	https://www.orthodb.org/v10?query=1521at3193	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase	49.64	50	54	49.93	0.95	0.27	0.26	NA	NA	NA
1578at3193	Complete	NC_057925.1	55375695	55496145	-	2104.3	1324	https://www.orthodb.org/v10?query=1578at3193	protein MON2 homolog isoform X1	51.01	52	57	51.73	0.98	0.27	0.27	NA	NA	NA
1589at3193	Complete	NC_057918.1	31947418	32124472	+	2202.8	1400	https://www.orthodb.org/v10?query=1589at3193	protein SHOOT GRAVITROPISM 6 isoform X1	53.35	53	49	52.97	1.01	0.28	0.27	NA	NA	NA
1664at3193	Complete	NC_057917.1	72318832	72367417	-	2741.3	1609	https://www.orthodb.org/v10?query=1664at3193	Embryo defective 2410	52.52	53	53	52.6	1	0.27	0.27	NA	NA	NA
1816at3193	Complete	NC_057918.1	11586022	11597064	+	2185.2	1561	https://www.orthodb.org/v10?query=1816at3193	thyroid adenoma-associated protein homolog	51.4	51	51	50.82	0.97	0.27	0.26	NA	NA	NA
1914at3193	Complete	NC_057917.1	68164342	68182044	-	1443.8	881	https://www.orthodb.org/v10?query=1914at3193	ATPase, AAA-type, conserved site	52.81	53	52	52.83	1	0.28	0.27	NA	NA	NA
1916at3193	Complete	NC_057920.1	57404646	57418888	-	1850	1129	https://www.orthodb.org/v10?query=1916at3193	DNA polymerase	64.49	65	67	64.72	1.23	0.3	0.34	NA	NA	NA
1998at3193	Complete	NC_057920.1	67857906	68026494	-	1279.7	1113	https://www.orthodb.org/v10?query=1998at3193	nuclear pore complex protein NUP160	48.58	48	42	47.04	0.89	0.26	0.24	NA	NA	NA
2050at3193	Complete	NC_057919.1	18345000	18368656	+	1496.7	1175	https://www.orthodb.org/v10?query=2050at3193	autophagy-related protein 2	59.31	59	55	58.93	1.12	0.29	0.31	NA	NA	NA
2203at3193	Complete	NC_057919.1	64873645	64884451	+	2091.9	1278	https://www.orthodb.org/v10?query=2203at3193	WD40-repeat-containing domain	54.12	54	53	53.96	1.03	0.28	0.28	NA	NA	NA
2329at3193	Complete	NC_057925.1	7692897	7698933	+	2451.7	1195	https://www.orthodb.org/v10?query=2329at3193	magnesium-chelatase subunit ChlH, chloroplastic	51.45	52	49	51.46	0.98	0.27	0.27	NA	NA	NA
2661at3193	Complete	NC_057918.1	24861710	25001001	+	1924.3	1239	https://www.orthodb.org/v10?query=2661at3193	ABC transporter C family member 13 isoform X1	49.04	49	48	50.13	0.95	0.27	0.26	NA	NA	NA
2694at3193	Complete	NC_057922.1	23521565	23642363	-	1884.2	1020	https://www.orthodb.org/v10?query=2694at3193	protein PIR	45.79	46	36	45.21	0.86	0.25	0.23	NA	NA	NA
2770at3193	Complete	NC_057925.1	47920203	47951836	+	1502.3	1017	https://www.orthodb.org/v10?query=2770at3193	nuclear pore complex protein NUP133	58.42	59	64	59.08	1.12	0.29	0.31	NA	NA	NA
2834at3193	Complete	NC_057919.1	44313155	44413961	+	2230.6	1527	https://www.orthodb.org/v10?query=2834at3193	Putative P-loop containing nucleoside triphosphate hydrolase	50.13	51	49	50.94	0.97	0.27	0.26	NA	NA	NA
2844at3193	Complete	NC_057921.1	61892432	61950826	-	2083.6	1178	https://www.orthodb.org/v10?query=2844at3193	cleavage and polyadenylation specificity factor subunit 1	53.42	53	52	52.57	1	0.27	0.27	NA	NA	NA
2884at3193	Complete	NC_057916.1	1257344	1278312	-	1323.7	903	https://www.orthodb.org/v10?query=2884at3193	protein TONSOKU isoform X1	60.83	61	64	61.11	1.16	0.3	0.32	NA	NA	NA
2921at3193	Complete	NC_057926.1	2210442	2216611	+	1881.4	1196	https://www.orthodb.org/v10?query=2921at3193	pentatricopeptide repeat-containing protein At3g18110, chloroplastic	44.99	45	46	44.98	0.85	0.25	0.23	NA	NA	NA
2926at3193	Complete	NC_057924.1	11775733	11879744	-	1872.1	1080	https://www.orthodb.org/v10?query=2926at3193	trafficking protein particle complex II-specific subunit 130 homolog	56.68	57	58	56.66	1.08	0.29	0.29	NA	NA	NA
3052at3193	Complete	NC_057918.1	66529506	66643639	-	1362	928	https://www.orthodb.org/v10?query=3052at3193	protein CHROMATIN REMODELING 20 isoform X1	54.79	54	53	54.48	1.04	0.28	0.28	NA	NA	NA
3082at3193	Complete	NC_057920.1	66133293	66152483	+	1405	963	https://www.orthodb.org/v10?query=3082at3193	Tetratricopeptide-like helical	41.21	32	28	39.06	0.74	0.24	0.2	NA	NA	NA
3272at3193	Complete	NC_057917.1	55263523	55336295	-	1877.4	1080	https://www.orthodb.org/v10?query=3272at3193	DNA ligase	59.21	58	57	58.45	1.11	0.29	0.3	NA	NA	NA
3288at3193	Complete	NC_057921.1	53630670	53694756	-	1070.5	823	https://www.orthodb.org/v10?query=3288at3193	DNA replication ATP-dependent helicase/nuclease DNA2 isoform X1	51.41	52	52	52.49	1	0.27	0.27	NA	NA	NA
3322at3193	Complete	NC_057923.1	17156327	17225423	+	1919	1267	https://www.orthodb.org/v10?query=3322at3193	Sister chromatid cohesion protein	51.38	51	50	51.7	0.98	0.27	0.27	NA	NA	NA
3493at3193	Complete	NC_057925.1	1856893	1949881	+	2291.5	1646	https://www.orthodb.org/v10?query=3493at3193	rRNA biogenesis protein RRP5	54.21	53	51	52.47	1	0.27	0.27	NA	NA	NA
3595at3193	Complete	NC_057925.1	47673316	47678638	-	1598	1079	https://www.orthodb.org/v10?query=3595at3193	protein TORNADO 1	46.7	46	43	46.6	0.89	0.26	0.24	NA	NA	NA
